Título,Data,Cartaz,Total Global participantes,Área da atividade,Projeto,Subprojeto,Formato,Foco de atuação,Atividade Formativa?,Modalidade,Instrutor / Oficineiro / Artista,Papel / Função da AAB,Outras instituições envolvidas na atividade,Mês
Cerâmica,21/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[e5ffa387848d43c3b02a6a83936bb23b][1]_[1].jpeg,4,"[""Artes Visuais""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Misae Odo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Coletivo de Mulheres que leem Mulheres,21/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[0d23e18af0594d7eb0df97a57bd83364][1]_[1].jpeg,2,"[""Literatura""]",Conexão Comunitária,Não se aplica,Encontro,Arte e Cultura,Falso,Presencial,"[""Não se Aplica""]",Gestora,"[""Prefeitura SJC"",""FCCR""]",março
Upcycling/Reutilização,22/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[a3b825314d9e4aafbb871446d16d2f14][1]_[1].jpeg,2,"[""Educação Ambiental""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Beatriz Rinaldini""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Bordado,25/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[7069236037d34acba2991efa7fa4d3f7][1]_[1].jpeg,7,"[""Artes Visuais""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Wohnrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Fundamentos do teatro cômico,25/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[aa43f011b30549f485e8700e878f6df2][1]_[1].png,20,"[""Teatro""]",Termo de Fomento 2019,Mostra Colibri de Artes 2025,Curso,Arte e Cultura,True,Virtual,"[""Solange Dias""]",Gestora,"[""FCCR"",""Prefeitura SJC"",""Projeto Colibri"",""Nucleo Educatho""]",março
Programação,25/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[c8446363bf5c4ae287d2fba772c86cf5][1]_[1].jpg,1,"[""Tecnologia""]",Voluntariado,Não se aplica,Oficina,Inclusão digital,Falso,Presencial,"[""Felipe Vieira""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Tear,26/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[1669cfb6b4bc4b4b909c67796fb2a912][1]_[1].jpeg,6,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Costuras Poéticas,27/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[5db11b201f5f477484fd5be0198175e9][1]_[1].jpeg,5,"[""Artes Visuais""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Juliana M. Strzygowski""]",Gestora,"[""Prefeitura SJC"",""FCCR""]",março
Teatro de Rua e a Cidade - Corpo e Dramaturgia dos Espaços,27/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[99ba3f1b5cbe4687b3e7a71c8f4fc3bd][1]_[1].png,14,"[""Teatro""]",Termo de Fomento 2019,Mostra Colibri de Artes 2025,Curso,Arte e Cultura,True,Virtual,"[""Edi Cardoso""]",Gestora,"[""FCCR"",""Prefeitura SJC"",""Projeto Colibri"",""Nucleo Educatho""]",março
Bordado,28/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[77ac6954147f4f2487471b39e527164f][1]_[1].jpeg,4,"[""Artesanato""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel wonhrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
