Título,Data,Cartaz,Total Global participantes,Área da atividade,Projeto,Subprojeto,Formato,Foco de atuação,Atividade Formativa?,Modalidade,Instrutor / Oficineiro / Artista,Papel / Função da AAB,Outras instituições envolvidas na atividade,Mês
Pula Fogueira (Exposição),18/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[8e62979067a0434dafb6d7926edbffb7][1]_[1].jpeg,33,"[""Artes Visuais""]",Termo de Fomento 2019,Festa Julina,Evento,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Festa Julina da Comunidade,19/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[2d77360cc59149b9becde5dda509455c][1]_[1].jpeg,800,"[""Artes Visuais""]",Termo de Fomento 2019,Festa Julina,Evento,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Upcycling/ Reutilização,19/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[829606502d7a498b832d89fede685448][1]_[1].jpeg,6,"[""Economia Criativa""]",Termo de Fomento 2019,Arte Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Beatriz Rinaldini""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Bordado,22/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[d4b83996e6d144a7ad65a95279718d3e][1]_[1].jpeg,5,"[""Artes Visuais""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Grupo de mulheres de SFX,22/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[06419b9042994f32b0db32a003a38b64][1]_[1].jpeg,7,"[""Artesanato""]",Termo de Fomento 2019,Não se aplica,Encontro,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Tear (Turma da Manhã),23/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[b8d37618feee42f4ba4b24d1b13a89c6][1]_[1].jpeg,2,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Tear (Turma da Tarde),23/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[9a9d7de62dd54dc0b2cae26167e07de8][1]_[1].jpeg,5,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Costuras poéticas,24/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[04b9d611127444458db3f5210dd65848][1]_[1].jpeg,4,"[""Memórias""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Juliana Machado""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Cerâmica,25/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[5d168de9409d49aa857755647a3c30fa][1]_[1].jpeg,2,"[""Artes Visuais""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Misae Odo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Lian Gong,25/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[0b3aebab184e4dadad202f3dd36faaed][1]_[1].jpeg,5,"[""Cultura da Paz""]",Termo de Fomento 2019,Parceria com UBS,Vivência,Arte e Cultura,Falso,Presencial,"[""Jaqueline e Andréia""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Modelagem em argila,26/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[08af15cc6d24489a87b7aa8e54d31b6d][1]_[1].jpeg,20,"[""Artes Visuais""]",Termo de Fomento 2019,Artes Nos Bairros,Curso,Arte e Cultura,Falso,Presencial,"[""Mirna Tominaga""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Tear de pregos,26/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[17c3a3556938416494da2fe5f6fc5a46][1]_[1].jpeg,15,"[""Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Mirna  Tominaga""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Bordado,29/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[7ed4cdf7789040f283b262f9f02b4a92][1]_[1].jpeg,5,"[""Artes Visuais""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Comunicação Não Violenta,29/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[75d04daafade4b9a8182a2b5e5af0419][1]_[1].jpeg,3,"[""Educação""]",Voluntariado,Não se aplica,Oficina,Desenvolvimento pessoal,Falso,Presencial,"[""Carina Grassetto""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Tear (Turma da Manhã),30/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[60ef5fdafa1c42e2a048a2a43df68ba4][1]_[1].jpeg,2,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Tear (Turma da Tarde),30/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[3badd4aa4c2d460fbbc3120015db80ef][1]_[1].jpeg,6,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Clube de Leitura,31/07/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[ecab33aed01743c9b4702757ffd6b27e][1]_[1].jpeg,10,"[""Literatura""]",Termo de Fomento 2019,Não se aplica,Encontro,Incentivo à Leitura,Falso,Presencial,"[""Hellen Santos""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",julho
Onde moram as palavras - Mesa com a escritora Fávia Martins Carvalho,02/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[4cb4cc0ee36b4e1ca3b6f81437f7d337][1]_[1].jpeg,45,"[""Literatura""]",Elos da Língua – Toda Palavra Lavra,Lei Paulo Gustavo,Curso,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Mesa Literária,03/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[c059afd7b96746f490ef27255e2912f8][1]_[5].jpeg,32,"[""Literatura""]",Elos da Língua – Toda Palavra Lavra,Lei Paulo Gustavo,Evento,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Onde moram as palavras - Mesa com o curador do evento e escritor Marcelino Freire,03/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[33d9ea0965f147cf801d95b6ac4cfa8a][1]_[1].jpeg,46,"[""Literatura""]",Elos da Língua – Toda Palavra Lavra,Lei Paulo Gustavo,Evento,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Onde moram as palavras - Mesa com escritor e dramaturgo Paulo Palado,04/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[e80d1d0242cb4538aa0dcb5cc8114a62][1]_[1].jpeg,20,"[""Literatura""]",Elos da Língua – Toda Palavra Lavra,Lei Paulo Gustavo,Evento,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Roda literária,04/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[ced9122c16384143951fc28f1a3e5e12][1]_[1].jpeg,13,"[""Literatura""]",Elos da Língua – Toda Palavra Lavra,Lei Paulo Gustavo,Evento,Arte e Cultura,Falso,Presencial,"[""NÃO SE APLICA""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
Onde Moram as palavras - Mesa com o escritor Alonso Alvarez,06/06/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[7acf3c024d1649918be869a95bbdac3a][1]_[1].jpeg,15,"[""Literatura""]",Elos da Língua – Toda Palavra Lavra,Lei Paulo Gustavo,Evento,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",junho
